Day in Study       left hand       right hand
------------       ---------       ----------
0                    0.00             0.00 
1                    8.44             8.52 
2                    23.78            20.50
3                    9.16             8.21 
4                    0.00             20.49
5                    0.00             21.87
6                    0.00             18.52
7                    0.00             7.97 
8                    1.90             2.18 
9                    1.38             14.65
10                   0.30             2.66 
11                   0.00             0.00 
12                   0.00             0.00 
13                   0.00             0.00 
14                   0.00             0.00 
15                   0.00             0.00 
16                   0.00             0.00 
17                   0.00             0.00 
18                   0.00             0.00 
19                   0.00             0.00 
20                   0.00             0.00 
21                   0.00             0.00 
22                   12.73            0.00 
23                   4.54             3.33 
24                   23.88            23.07
25                   18.37            15.66
26                   17.81            17.38
27                   9.69             9.70 
28                   16.16            8.31 
29                   22.72            16.47
30                   5.86             5.89 
31                   0.88             0.45 
32                   23.81            23.81
33                   20.00            9.89 
34                   0.72             0.64 
35                   21.13            2.95 
36                   21.89            13.63
37                   20.00            20.00
38                   15.22            20.14
39                   15.99            20.62
40                   8.27             8.27 
41                   17.89            18.26
42                   9.97             7.97 
43                   18.92            22.25
44                   9.09             7.51 
45                   0.00             6.87 
46                   20.31            20.36
47                   18.52            18.50
48                   10.78            11.06
49                   3.67             3.66 
50                   13.10            18.61
51                   23.51            23.50
52                   9.50             9.51 
53                   1.42             1.45 
54                   15.52            21.02
55                   0.85             0.84 
56                   0.00             0.00 
57                   0.00             0.00 
58                   0.00             0.00 
59                   0.00             0.00 
60                   0.00             0.00 
61                   0.00             0.00 
62                   0.00             0.00 
63                   0.00             0.00 
64                   0.00             0.00 
65                   0.00             0.00 
66                   0.00             0.00 
67                   0.00             0.00 
68                   0.00             0.00 
69                   0.00             0.00 
70                   0.00             0.00 
71                   0.00             0.00 
72                   0.00             0.00 
73                   0.00             0.00 
74                   0.00             0.00 
75                   0.00             0.00 
76                   0.00             0.00 
77                   0.00             0.00 
78                   0.00             0.00 
79                   0.00             0.00 
80                   0.00             0.00 
81                   0.00             0.00 
82                   0.00             0.00 
83                   0.00             0.00 
84                   0.00             0.00 
85                   0.00             0.00 
86                   0.00             0.00 
87                   0.00             0.00 
88                   0.00             0.00 
89                   0.00             0.00 
90                   0.00             0.00 
91                   0.00             0.00 
92                   0.00             0.00 
93                   0.00             0.00 
94                   0.00             0.00 
95                   0.00             0.00 
96                   0.00             0.00 
97                   0.00             0.00 
