Day in Study       left hand       right hand
------------       ---------       ----------
0                    13.46            12.77
1                    22.68            21.36
2                    22.61            23.48
3                    22.59            23.03
4                    22.94            22.80
5                    22.73            22.71
6                    22.90            23.32
7                    22.40            22.79
8                    15.67            23.36
9                    22.54            22.98
10                   22.81            22.88
11                   22.77            22.78
12                   20.05            23.15
13                   23.04            22.69
14                   21.83            22.18
15                   22.31            22.21
16                   22.74            22.74
17                   22.83            7.13 
18                   22.39            0.00 
19                   22.58            0.00 
20                   23.08            0.00 
21                   22.84            0.00 
22                   17.64            14.26
23                   0.61             21.48
24                   8.00             22.10
25                   12.88            22.62
26                   17.42            20.91
27                   5.79             22.32
28                   0.00             22.05
29                   0.00             22.53
30                   0.00             22.09
31                   0.00             23.15
32                   12.61            9.65 
33                   22.08            0.00 
34                   22.06            0.00 
35                   22.65            0.00 
36                   23.08            0.00 
37                   22.83            0.00 
38                   23.18            0.00 
39                   22.42            0.00 
40                   11.71            0.00 
41                   0.00             0.00 
42                   0.00             0.00 
43                   0.00             0.00 
44                   9.41             0.00 
45                   23.25            0.00 
46                   22.40            0.00 
47                   22.67            0.00 
48                   22.59            0.00 
49                   22.57            0.00 
50                   22.65            8.19 
51                   21.79            21.73
52                   22.77            22.79
53                   22.71            22.70
54                   22.66            22.32
55                   22.83            22.69
56                   22.23            21.89
57                   22.24            22.72
58                   22.36            22.37
59                   22.68            14.19
60                   22.59            10.64
61                   22.05            22.05
62                   22.42            12.16
63                   22.37            1.96 
64                   7.44             0.73 
